,200405,200506,200607,200708,200809,200910,201011,201112,201213,201314,201415,201516,201617,201718,201819,201920,202021,202122
0,HD2004,HD2005,HD2006,HD2007,HD2008,HD2009,HD2010,HD2011,HD2012,HD2013,HD2014,HD2015,HD2016,HD2017,HD2018,HD2019,HD2020,HD2021
1,FLAGS2004,FLAGS2005,FLAGS2006,FLAGS2007,FLAGS2008,FLAGS2009,FLAGS2010,FLAGS2011,FLAGS2012,FLAGS2013,FLAGS2014,FLAGS2015,FLAGS2016,FLAGS2017,FLAGS2018,FLAGS2019,FLAGS2020,FLAGS2021
2,IC2004,IC2005,IC2006,IC2007,IC2008,IC2009,IC2010,IC2011,IC2012,IC2013,IC2014,IC2015,IC2016,IC2017,IC2018,IC2019,IC2020,IC2021
3,IC2004_AY,IC2005_AY,IC2006_AY,IC2007_AY,IC2008_AY,IC2009_AY,IC2010_AY,IC2011_AY,IC2012_AY,IC2013_AY,IC2014_AY,IC2015_AY,IC2016_AY,IC2017_AY,IC2018_AY,IC2019_AY,IC2020_AY,IC2021_AY
4,IC2004_PY,IC2005_PY,IC2006_PY,IC2007_PY,IC2008_PY,IC2009_PY,IC2010_PY,IC2011_PY,IC2012_PY,IC2013_PY,IC2014_PY,IC2015_PY,IC2016_PY,IC2017_PY,IC2018_PY,IC2019_PY,IC2020_PY,IC2021_PY
5,IC2004MISSION,IC2005MISSION,DRVIC2006,DRVIC2007,DRVIC2008,DRVIC2009,DRVIC2010,DRVIC2011,DRVIC2012,DRVIC2013,DRVIC2014,DRVIC2015,DRVIC2016,DRVIC2017,DRVIC2018,DRVIC2019,DRVIC2020,DRVIC2021
6,EF2004,EF2005,IC2006MISSION,IC2007MISSION,IC2008MISSION,IC2009MISSION,IC2010MISSION,IC2011MISSION,IC2012MISSION,IC2013MISSION,IC2014MISSION,IC2015MISSION,IC2016MISSION,IC2017MISSION,IC2018MISSION,IC2019MISSION,IC2020MISSION,IC2021MISSION
7,EF2004A,EF2005A,EF2006,EF2007,EF2008DS,EF2009,CUSTOMCGIDS2010,CustomCGids2011,CustomCGids2012,CUSTOMCGIDS2013,CUSTOMCGIDS2014,CUSTOMCGIDS2015,CUSTOMCGIDS2016,CUSTOMCGIDS2017,CUSTOMCGIDS2018,CUSTOMCGIDS2019,CUSTOMCGIDS2020,CUSTOMCGIDS2021
8,EF2004CP,EF2005B,EF2006A,EF2007A,EF2008,EF2009A,CUSTOMCG2010,EF2011,EF2012,EF2013,EF2014,ADM2015,ADM2016,ADM2017,ADM2018,ADM2019,ADM2020,ADM2021
9,EF2004B,EF2005C,EF2006CP,EF2007B,EF2008A,EF2009B,EF2010,EF2011A,EF2012A,EF2013A,EF2014A,DRVADM2015,DRVADM2016,DRVADM2017,DRVADM2018,DRVADM2019,DRVADM2020,DRVADM2021
10,EF2004C,EF2005D,EF2006B,EF2007C,EF2008CP,EF2009C,EF2010A,EF2011B,EF2012CP,EF2013B,EF2014CP,EFFY2015,EFFY2016,EFFY2017,EFFY2018,EFFY2019,EFFY2020,EFFY2021
11,EF2004D,C2005_A,EF2006C,EF2007D,EF2008B,EF2009D,EF2010CP,EF2011C,EF2012B,EF2013C,EF2014B,EFIA2015,EFIA2016,EFIA2017,EFIA2018,EFIA2019,EFIA2020,EFIA2021
12,C2004_A,F0405_F1A,EF2006D,DRVEF2007,EF2008C,DRVEF2009,EF2010B,EF2011D,EF2012C,EF2013D,EF2014C,DRVEF122015,DRVEF122016,DRVEF122017,DRVEF122018,DRVEF122019,EFFY2020_DIST,EFFY2021_DIST
13,F0304_F1A,F0405_F1A_F,DRVEF2006,C2007_A,EF2008D,C2009_A,EF2010C,DRVEF2011,EF2012D,EF2013A_DIST,EF2014D,EF2015,EF2016,EF2017,EF2018,EF2019,DRVEF122020,DRVEF122021
14,F0304_F1A_F,F0405_F1A_G,C2006_A,DRVC2007,EF2008F,CSTEM2009,EF2010D,C2011_A,EF2012A_DIST,DRVEF2013,EF2014A_DIST,EF2015A,EF2016A,EF2017A,EF2018A,EF2019A,EF2020,EF2021
15,F0304_F1A_G,F0405_F2,DRVC2006,F0607_F1A,DRVEF2008,DRVC2009,DRVEF2010,DRVC2011,DRVEF2012,C2013_A,DRVEF2014,EF2015B,EF2016CP,EF2017B,EF2018CP,EF2019B,EF2020A,EF2021A
16,F0304_F2,F0405_F3,F0506_F1A,F0607_F1A_F,C2008_A,F0809_F1A,C2010_A,F1011_F1A,C2012_A,C2013_B,C2014_A,EF2015C,EF2016B,EF2017C,EF2018B,EF2019C,EF2020CP,EFxxxxCP
17,F0304_F3,SFA0405,F0506_F1A_F,F0607_F1A_G,DRVC2008,F0809_F2,DRVC2010,F1011_F2,C2012_B,C2013_C,C2014_B,EF2015D,EF2016C,EF2017D,EF2018C,EF2019D,EF2020B,EF2021B
18,SFA0304,GR2005,F0506_F1A_G,F0607_F2,F0708_F1A,F0809_F3,F0910_F1A,F1011_F3,C2012_C,C2013DEP,C2014_C,EF2015A_DIST,EF2016D,EF2017A_DIST,EF2018D,EF2019A_DIST,EF2020C,EF2021C
19,GR2004,GR2005_L2,F0506_F2,F0607_F3,F0708_F2,DRVF2009,F0910_F2,DRVF2011,C2012DEP,DRVC2013,C2014DEP,DRVEF2015,EF2016A_DIST,DRVEF2017,EF2018A_DIST,DRVEF2019,EF2020D,EF2021D
20,GR2004_L2,EAP2005,F0506_F3,DRVF2007,F0708_F3,SFA0809_P1,F0910_F3,SFA1011_P1,DRVC2012,F1213_F1A,DRVC2014,C2015_A,DRVEF2016,C2017_A,DRVEF2018,DRVC2019,EF2020A_DIST,EF2021A_DIST
21,EAP2004,SAL2005_A,DRVF2006,SFA0607,DRVF2008,SFA0809_P2,DRVF2010,SFA1011_P2,F1112_F1A,F1213_F2,F1314_F1A,C2015_B,C2016_A,C2017_B,C2018_A,C2019_A,DRVEF2020,DRVEF2021
22,SAL2004_A,SAL2005_B,SFA0506,GR2007,SFA0708,GR2009,SFA0910_P1,GR2011,F1112_F2,F1213_F3,F1314_F2,C2015_C,C2016_B,C2017_C,C2018_B,C2019_B,DRVC2020,DRVC2021
23,SAL2004_B,SAL2005_A_LT9,GR2006,GR2007_L2,GR2008,GR2009_L2,SFA0910_P2,GR2011_L2,F1112_F3,DRVF2013,F1314_F3,C2015DEP,C2016_C,C2017DEP,C2018_C,C2019_C,C2020_A,C2021_A
24,S2004_ABD,S2005_ABD,GR2006_L2,DRVGR2007,GR2008_L2,GR200_09,GR2010,GR200_11,DRVF2012,SFA1213_P1,DRVF2014,DRVC2015,C2016DEP,DRVC2017,C2018DEP,C2019DEP,C2020_B,C2021_B
25,S2004_F,S2005_F,DRVGR2006,EAP2007,GR200_08,DRVGR2009,GR2010_L2,DRVGR2011,SFA1112_P1,SFA1213_P2,SFA1314_P1,SFA1415_P1,DRVC2016,SFA1617_P1,DRVC2018,SFA1819_P1,C2020_C,C2021_C
26,S2004_G,S2005_G,EAP2006,SAL2007_A,DRVGR2008,EAP2009,GR200_10,EAP2011,SFA1112_P2,GR2013,SFA1314_P2,SFA1415_P2,SFA1516_P1,SFA1617_P2,SFA1718_P1,SFA1819_P2,C2020DEP,C2021DEP
27,S2004_CN,S2005_CN,SAL2006_A,SAL2007_B,EAP2008,SAL2009_A,DRVGR2010,SAL2011_A,GR2012,GR2013_L2,SFAV1314,SFAV1415,SFA1516_P2,SFAV1617,SFA1718_P2,SFAV1819,SFA1920_P1,SFA2021_P1
28,EFFY2004,EFFY2005,SAL2006_B,SAL2007_FACULTY,SAL2008_A,SAL2009_B,EAP2010,SAL2011_FACULTY,GR2012_L2,GR200_13,GR2014,GR2015,SFAV1516,GR2017,SFAV1718,GR2019,SFA1920_P2,SFA2021_P2
29,EFIA2004,EFIA2005,SAL2006_FACULTY,SAL2007_A_LT9,SAL2008_B,SAL2009_FACULTY,SAL2010_A,SAL2011_A_LT9,GR200_12,DRVGR2013,GR2014_L2,GR2015_L2,GR2016,GR2017_L2,GR2018,GR2019_L2,SFAV1920,SFAV2021
30,DFR2004,DFR2005,SAL2006_A_LT9,S2007_ABD,SAL2008_FACULTY,SAL2009_A_LT9,SAL2010_B,S2011_ABD,DRVGR2012,EAP2013,GR200_14,GR200_15,GR2016_L2,GR2017_PELL_SSL,GR2018_L2,GR2019_PELL_SSL,GR2020,GR2021
31,,,S2006_ABD,S2007_F,SAL2008_A_LT9,S2009_ABD,SAL2010_FACULTY,S2011_F,EAP2012,SAL2013_IS,DRVGR2014,DRVGR2015,GR2016_PELL_SSL,GR200_17,GR2018_PELL_SSL,GR200_19,GR2020_L2,GR2021_L2
32,,,S2006_F,S2007_G,S2008_ABD,S2009_F,SAL2010_A_LT9,S2011_G,SAL2012_IS,SAL2013_NIS,EAP2014,OM2015,GR200_16,DRVGR2017,GR200_18,DRVGR2019,GR2020_PELL_SSL,GR2021_PELL_SSL
33,,,S2006_G,S2007_CN,S2008_F,S2009_G,S2010_ABD,S2011_CN,SAL2012_NIS,S2013_OC,SAL2014_IS,F1415_F1A,DRVGR2016,OM2017,DRVGR2018,OM2019,GR200_20,GR200_21
34,,,S2006_CN,DRVHR2007,S2008_G,S2009_CN,S2010_F,DRVHR2011,S2012_OC,S2013_SIS,SAL2014_NIS,F1415_F2,OM2016,DRVOM2017,OM2018,DRVOM2019,DRVGR2020,DRVGR2021
35,,,DRVHR2006,EFFY2007,S2008_CN,DRVHR2009,S2010_G,EFFY2011,S2012_SIS,S2013_IS,S2014_OC,F1415_F3,DRVOM2016,F1617_F1A,DRVOM2018,F1819_F1A,OM2020,OM2021
36,,,EFFY2006,EFIA2007,DRVHR2008,EFFY2009,S2010_CN,EFIA2011,S2012_IS,S2013_NH,S2014_SIS,DRVF2015,F1516_F1A,F1617_F2,F1718_F1A,F1819_F2,DRVOM2020,DRVOM2021
37,,,EFIA2006,DRVEF122007,EFFY2008,EFIA2009,DRVHR2010,DRVEF122011,S2012_NH,DRVHR2013,S2014_IS,EAP2015,F1516_F2,F1617_F3,F1718_F2,F1819_F3,F1920_F1A,F2021_F1A
38,,,AL2006,,EFIA2008,DRVEF122009,EFFY2010,,DRVHR2012,EFFY2013,S2014_NH,SAL2015_IS,F1516_F3,DRVF2017,F1718_F3,DRVF2019,F1920_F2,F2021_F2
39,,,,,DRVEF122008,,EFIA2010,,EFFY2012,EFIA2013,DRVHR2014,SAL2015_NIS,DRVF2016,EAP2017,DRVF2018,SAL2019_NIS,F1920_F3,F2021_F3
40,,,,,AL2008,,DRVEF122010,,EFIA2012,DRVEF122013,ADM2014,S2015_OC,EAP2016,SAL2017_IS,EAP2018,EAP2019,DRVF2020,DRVF2021
41,,,,,,,AL2010,,DRVEF122012,,DRVADM2014,S2015_SIS,SAL2016_IS,SAL2017_NIS,SAL2018_IS,SAL2019_IS,SAL2020_NIS,SAL2021_NIS
42,,,,,,,,,AL2012,,EFFY2014,S2015_IS,SAL2016_NIS,S2017_OC,SAL2018_NIS,S2019_OC,EAP2020,EAP2021
43,,,,,,,,,,,EFIA2014,S2015_NH,S2016_OC,S2017_SIS,S2018_OC,S2019_SIS,SAL2020_IS,SAL2021_IS
44,,,,,,,,,,,DRVEF122014,DRVHR2015,S2016_SIS,S2017_IS,S2018_SIS,S2019_IS,S2020_OC,S2021_OC
45,,,,,,,,,,,AL2014,AL2015,S2016_IS,S2017_NH,S2018_IS,S2019_NH,S2020_SIS,S2021_SIS
46,,,,,,,,,,,DRVAL2014,DRVAL2015,S2016_NH,DRVHR2017,S2018_NH,DRVHR2019,S2020_IS,S2021_IS
47,,,,,,,,,,,,,DRVHR2016,AL2017,DRVHR2018,AL2019,S2020_NH,S2021_NH
48,,,,,,,,,,,,,AL2016,DRVAL2017,AL2018,DRVAL2019,DRVHR2020,DRVHR2021
49,,,,,,,,,,,,,DRVAL2016,,DRVAL2018,,AL2020,AL2021
50,,,,,,,,,,,,,,,,,DRVAL2020,DRVAL2021
